method,N,dropout,ConvergenceRate,Bias,Relative_Bias,RMSE,Coverage,Power,Empirical_SE,Avg_Model_SE,SE_Ratio,MCSE_Coverage,Power_Continuous,Type_I_Error_Binary
GEE_cont,200,0.5,1,-0.0167546624475234,-1.11697749650156,0.290124571486941,0.932,1,0.289930453043406,0.283600432026611,1.02232020935779,0.0178011235600453,1,
GLMM,100,0.1,0.688,0.0394492421283704,,0.0596453687322588,0.813953488372093,0.186046511627907,0.0448013624814386,0.0422002939437855,1.0616362658781,0.0389144198387942,,0.186046511627907
GLMM,100,0.2,0.666,0.0385820031798,,0.0607953579505087,0.870870870870871,0.129129129129129,0.0470547945393665,0.0472994249687362,0.994828046439648,0.0335342805408856,,0.129129129129129
GLMM,100,0.3,0.612,0.0446035109556986,,0.0713113718156891,0.849673202614379,0.150326797385621,0.0557313991482643,0.05387502164973,1.034457109096,0.0357391453973655,,0.150326797385621
GLMM,100,0.5,0.532,0.0440249666193138,,0.10619773795681,0.894736842105263,0.105263157894737,0.096824615907805,0.0819042342987614,1.18216862335369,0.0306892204991858,,0.105263157894737
GLMM,200,0.1,0.82,0.0389843443436532,,0.0488901915510869,0.731707317073171,0.268292682926829,0.02953980397237,0.0293296860488432,1.00716400179589,0.0313298355577198,,0.268292682926829
GLMM,200,0.2,0.798,0.0372653359176248,,0.0492652818577651,0.786967418546366,0.213032581453634,0.0322640928443415,0.0318528746275902,1.01290992482026,0.028952521538964,,0.213032581453634
GLMM,200,0.3,0.752,0.0341699947546402,,0.0507605962359326,0.843085106382979,0.156914893617021,0.0375873257131323,0.036040966910685,1.04290558592058,0.0257189239450429,,0.156914893617021
GLMM,200,0.5,0.63,0.0397870276690963,,0.0670947525336412,0.895238095238095,0.104761904761905,0.0541109366409014,0.054804236758004,0.987349516057235,0.0216548895255278,,0.104761904761905
LME,100,0.1,0.858,-0.000996008173891036,-0.0664005449260691,0.241968971029511,0.937062937062937,1,0.242249427821987,0.230183387813389,1.05241924764084,0.0242849725233361,1,
LME,100,0.2,0.896,-0.000660377532550017,-0.0440251688366678,0.253561668128322,0.939732142857143,1,0.253844274796529,0.251993134961899,1.00734599311569,0.0237982441659601,1,
LME,100,0.3,0.872,-0.0175727941195684,-1.17151960797123,0.285335636945877,0.935779816513761,1,0.28512116182951,0.274071653320892,1.04031613037953,0.0245144756254814,1,
LME,100,0.5,0.514,1.45152902683064e-05,0.000967686017887022,0.368999887227589,0.926070038910506,0.976653696498054,0.369719887406135,0.34108599200707,1.08394919776849,0.0261656878263882,0.976653696498054,
LME,200,0.1,0.78,-0.00746648075594294,-0.497765383729529,0.156198815043088,0.961538461538461,1,0.156220671320743,0.164033882486816,0.952368309232084,0.0135982073305105,1,
LME,200,0.2,0.776,0.00943980969659519,0.629320646439679,0.178406470531814,0.951030927835052,1,0.178386584699988,0.175843664303321,1.01446125685984,0.0152596038834979,1,
LME,200,0.3,0.812,-0.00123841676476715,-0.0825611176511433,0.186739707013254,0.955665024630542,1,0.186965996160528,0.192492332379563,0.971290616354847,0.0145549622686642,1,
LME,200,0.5,0.48,-0.00892713978961236,-0.595142652640824,0.255414177283333,0.945833333333333,1,0.255791575979855,0.245684571552438,1.04113813237662,0.0160050990138907,1,
